,,record_id,record_id,record_id,record_id,record_id,record_id,record_id,record_id,month,month,month,month,month,month,month,month,day,day,day,day,day,day,day,day,year,year,year,year,year,year,year,year,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,weight,weight,weight,weight,weight,weight,weight,weight
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
plot_id,sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,M,764.0,17849.574607329843,10388.92670426114,92.0,9455.0,16813.5,26936.5,35509.0,764.0,6.035340314136126,3.456535172933702,1.0,3.0,5.0,9.0,12.0,764.0,16.091623036649214,7.984223170902205,1.0,9.0,16.0,23.0,31.0,764.0,1990.556282722513,7.55552446827733,1977.0,1984.0,1989.5,1997.0,2002.0,719.0,27.42559109874826,9.50031293457493,8.0,20.0,25.0,36.0,54.0,739.0,36.867388362652235,30.86777913453708,6.0,18.0,31.0,46.0,241.0
7,F,335.0,19069.668656716418,7033.955726923936,71.0,14376.5,18754.0,24050.0,35075.0,335.0,6.385074626865672,3.2945815491856525,1.0,4.0,6.0,9.0,12.0,335.0,15.313432835820896,8.244411925705489,1.0,9.0,14.0,22.5,31.0,335.0,1991.4417910447762,5.249070326974518,1977.0,1988.0,1991.0,1996.0,2002.0,313.0,19.77955271565495,4.056408801316507,12.0,17.0,20.0,21.0,38.0,326.0,20.006134969325153,17.89593746164077,6.0,12.0,17.0,23.0,170.0
7,M,307.0,19188.72964169381,7937.998796341545,4.0,14348.0,18337.0,25610.0,35548.0,307.0,6.719869706840391,3.58186645524783,1.0,3.0,7.0,10.0,12.0,307.0,15.778501628664495,8.134277129174592,1.0,9.0,15.0,23.0,31.0,307.0,1991.4625407166125,5.881265041722197,1977.0,1988.0,1991.0,1997.0,2002.0,300.0,20.536666666666665,5.232582723865517,11.0,17.0,20.0,22.0,50.0,303.0,21.194719471947195,23.971251514595778,4.0,11.0,17.0,23.0,235.0
8,F,840.0,18920.27619047619,10237.600165628653,68.0,10699.75,18906.5,27632.25,35526.0,840.0,6.632142857142857,3.2506224108980404,1.0,4.0,7.0,10.0,12.0,840.0,15.836904761904762,8.13493591266678,1.0,9.0,16.0,22.0,31.0,840.0,1991.267857142857,7.493877687315138,1977.0,1985.0,1991.0,1998.0,2002.0,805.0,32.18757763975155,9.277954651104807,9.0,23.0,35.0,37.0,58.0,817.0,45.62301101591187,31.045426224358444,5.0,25.0,42.0,50.0,178.0
8,M,983.0,19452.10986775178,9595.965776164798,74.0,12074.5,19603.0,27655.5,35354.0,983.0,6.571719226856562,3.2775067821801493,1.0,4.0,7.0,9.0,12.0,983.0,15.854526958290947,8.219134532254781,1.0,9.0,16.0,23.0,31.0,983.0,1991.6866734486266,6.996907625220093,1977.0,1986.0,1992.0,1998.0,2002.0,944.0,33.751059322033896,9.173738333777884,12.0,27.0,36.0,37.0,56.0,962.0,49.641372141372145,34.82035468372629,5.0,29.0,45.0,52.0,173.0
9,F,853.0,16217.497069167644,10660.837623617543,76.0,6848.0,15613.0,25094.0,35524.0,853.0,6.499413833528722,3.420672055106692,1.0,4.0,6.0,10.0,12.0,853.0,15.555685814771396,8.393953566903454,1.0,9.0,15.0,22.0,31.0,853.0,1989.303634232122,7.768689318360731,1977.0,1982.0,1989.0,1997.0,2002.0,801.0,35.12609238451935,9.478545818660885,13.0,34.0,36.0,37.0,54.0,823.0,53.61846901579587,35.572792975620104,6.0,35.0,43.0,54.0,177.0
9,M,1004.0,18000.71015936255,10019.216140320406,25.0,9997.75,17712.0,26675.25,35525.0,1004.0,6.361553784860558,3.4386455366489015,1.0,4.0,6.0,10.0,12.0,1004.0,15.209163346613545,8.356350275534686,1.0,8.0,15.0,22.0,31.0,1004.0,1990.632470119522,7.322194879987973,1977.0,1985.0,1990.0,1997.0,2002.0,956.0,34.17573221757322,7.890246944519232,14.0,34.0,36.0,37.0,54.0,984.0,49.51930894308943,31.88802307123701,6.0,37.0,46.0,50.0,275.0
10,F,141.0,16001.496453900709,8082.731801831883,30.0,11325.0,15795.0,20769.0,35547.0,141.0,5.588652482269503,3.6782583650142593,1.0,2.0,4.0,8.0,12.0,141.0,16.9645390070922,8.516715788476322,1.0,10.0,17.0,24.0,31.0,141.0,1989.2482269503546,5.898130488757556,1977.0,1986.0,1989.0,1993.0,2002.0,134.0,18.64179104477612,5.1974588716916985,10.0,16.0,17.0,20.0,52.0,138.0,17.094202898550726,14.074819717847848,7.0,10.0,13.0,20.0,130.0
10,M,142.0,15708.704225352112,8211.279425182274,201.0,9329.75,15391.0,22273.5,33564.0,142.0,5.71830985915493,3.607254701967502,1.0,3.0,5.0,9.0,12.0,142.0,16.739436619718308,8.423775519717552,1.0,10.0,16.5,24.0,31.0,142.0,1989.0070422535211,5.999404791840432,1977.0,1984.0,1989.0,1994.5,2002.0,134.0,19.567164179104477,5.49017955962305,12.0,17.0,17.0,21.0,47.0,139.0,19.971223021582734,25.061068151600715,4.0,10.0,12.0,22.0,237.0
11,F,822.0,16994.962287104623,10197.702042371251,20.0,8574.25,16320.0,25652.25,35517.0,822.0,6.759124087591241,3.4486500332122696,1.0,4.0,7.0,10.0,12.0,822.0,16.28345498783455,8.342322353560318,1.0,9.0,16.0,23.0,31.0,822.0,1989.8369829683697,7.457566171391617,1977.0,1983.0,1989.0,1997.0,2002.0,785.0,32.029299363057326,8.578146631763268,11.0,23.0,35.0,36.0,53.0,796.0,43.515075376884425,29.627049070032005,5.0,27.0,40.0,46.0,208.0
11,M,1029.0,16933.909620991253,10170.83836358087,28.0,8000.0,17217.0,25132.0,35518.0,1029.0,6.374149659863946,3.499159485089772,1.0,3.0,6.0,10.0,12.0,1029.0,15.974732750242953,8.018300023328576,1.0,10.0,16.0,22.0,31.0,1029.0,1989.8561710398444,7.440732968914079,1977.0,1983.0,1990.0,1997.0,2002.0,987.0,32.07801418439716,8.574041730133045,15.0,22.0,36.0,37.0,53.0,994.0,43.36619718309859,28.425105285624582,6.0,25.0,43.0,49.0,212.0
12,F,1060.0,17457.966981132075,10200.342159633756,49.0,8602.5,16945.0,26593.25,35415.0,1060.0,6.509433962264151,3.3559533250483478,1.0,4.0,6.0,9.0,12.0,1060.0,16.30566037735849,8.252676678994668,1.0,10.0,16.0,23.0,31.0,1060.0,1990.2669811320754,7.489712449590258,1977.0,1983.0,1990.0,1997.0,2002.0,1005.0,30.975124378109452,7.961834892162219,14.0,22.0,35.0,36.0,53.0,1040.0,49.83173076923077,43.79024674727589,6.0,26.0,41.0,48.25,264.0
12,M,1200.0,17592.3275,10117.046931495815,58.0,8601.25,17399.5,26694.75,35414.0,1200.0,6.304166666666666,3.4375131106480326,1.0,3.0,6.0,9.0,12.0,1200.0,16.3675,8.263535286396756,1.0,10.0,16.0,23.0,31.0,1200.0,1990.4008333333334,7.422448602602166,1977.0,1983.0,1990.0,1997.0,2002.0,1141.0,31.762489044697634,8.751873710717312,15.0,22.0,35.0,37.0,54.0,1174.0,48.90971039182283,39.30103753060088,7.0,25.25,43.0,50.0,280.0
13,F,628.0,18033.100318471337,10859.197228508898,35.0,7765.75,19179.5,28150.0,35531.0,628.0,6.802547770700637,3.2824301310915076,1.0,4.0,7.0,10.0,12.0,628.0,16.229299363057326,8.295478379803802,1.0,9.0,16.0,23.0,31.0,628.0,1990.6194267515923,7.91421741617042,1977.0,1983.0,1991.0,1998.0,2002.0,592.0,27.201013513513512,9.259108963709595,8.0,20.0,25.0,35.0,52.0,610.0,40.52459016393443,36.10980633488307,5.0,21.0,31.0,42.0,192.0
13,M,783.0,16969.044699872287,10584.106274792732,23.0,6866.5,16555.0,26140.0,35361.0,783.0,6.480204342273308,3.379538847630109,1.0,4.0,7.0,10.0,12.0,783.0,16.005108556832695,8.161726815506787,1.0,9.0,16.0,23.0,31.0,783.0,1989.9118773946361,7.694362996275437,1977.0,1982.0,1989.0,1997.0,2002.0,725.0,27.893793103448274,9.369990158205571,14.0,20.0,26.0,36.0,53.0,757.0,40.09775429326288,31.75344763563592,6.0,20.0,34.0,47.0,241.0
14,F,709.0,17097.145275035262,10758.077645526191,21.0,7443.0,17201.0,26735.0,35537.0,709.0,6.510578279266572,3.2393176600032416,1.0,4.0,6.0,9.0,12.0,709.0,16.681241184767277,8.418767750370936,1.0,10.0,16.0,24.0,31.0,709.0,1989.9746121297603,7.836386862926405,1977.0,1983.0,1990.0,1997.0,2002.0,676.0,32.97337278106509,7.264272868718433,14.0,33.0,35.0,36.0,52.0,692.0,47.35549132947977,29.5634554870894,5.0,37.0,43.0,48.0,211.0
14,M,1070.0,17891.948598130843,9633.74496305866,124.0,9419.0,18531.5,25304.5,35535.0,1070.0,6.660747663551402,3.344270529017155,1.0,4.0,7.0,10.0,12.0,1070.0,16.50467289719626,8.32172743249404,1.0,10.0,16.0,23.75,31.0,1070.0,1990.5878504672896,7.083706521871365,1977.0,1984.0,1991.0,1997.0,2002.0,1021.0,32.961802154750245,7.535765069349468,11.0,33.0,36.0,37.0,52.0,1029.0,45.159378036929056,25.272173336262053,5.0,35.0,44.0,50.0,222.0
15,F,481.0,20602.449064449065,11150.413898614745,22.0,9909.0,23852.0,30279.0,35543.0,481.0,6.56964656964657,3.193064371909857,1.0,4.0,7.0,9.0,12.0,481.0,16.16216216216216,8.28796207250705,1.0,10.0,16.0,23.0,31.0,481.0,1992.5239085239086,8.020023775418705,1977.0,1985.0,1996.0,2000.0,2002.0,459.0,21.949891067538125,6.00361017563151,12.0,17.0,21.0,24.0,52.0,467.0,26.670235546038544,31.983137197058362,4.0,12.5,18.0,26.0,198.0
15,M,409.0,18104.0195599022,10829.721923521072,26.0,7182.0,19078.0,27123.0,35539.0,409.0,6.185819070904645,3.0686099517227476,1.0,4.0,6.0,9.0,12.0,409.0,17.413202933985332,7.889737797302757,1.0,12.0,17.0,24.0,31.0,409.0,1990.7701711491443,7.900483369429769,1977.0,1983.0,1991.0,1997.0,2002.0,386.0,21.803108808290155,6.277363221250355,14.0,17.0,21.0,23.0,40.0,401.0,27.523690773067333,38.631270524591066,4.0,10.0,18.0,25.0,259.0
16,F,222.0,19002.445945945947,9856.145683397697,36.0,12188.25,18555.0,27119.5,35485.0,222.0,6.36036036036036,3.499949043695758,1.0,3.0,6.0,9.75,12.0,222.0,16.81981981981982,8.805282452165336,1.0,10.0,16.0,25.0,31.0,222.0,1991.3513513513512,7.132423764318949,1977.0,1987.0,1991.0,1997.0,2002.0,207.0,23.144927536231883,8.167438361440347,11.0,17.0,21.0,26.5,53.0,211.0,25.81042654028436,20.902314415213326,4.0,13.0,21.0,31.0,158.0
16,M,273.0,18434.714285714286,10369.914568985956,141.0,9971.0,17332.0,26902.0,35486.0,273.0,6.201465201465202,3.4481023201172336,1.0,3.0,6.0,9.0,12.0,273.0,16.622710622710624,8.176845715849469,1.0,10.0,16.0,23.0,31.0,273.0,1990.9267399267399,7.49522759890046,1977.0,1985.0,1990.0,1997.0,2002.0,262.0,23.480916030534353,7.9044593311998606,13.0,17.0,21.0,31.75,50.0,265.0,23.81132075471698,14.663726380257517,5.0,11.0,20.0,35.0,61.0
17,F,892.0,18234.32286995516,10939.22822467519,134.0,7705.25,19060.0,27951.0,35447.0,892.0,6.650224215246637,3.41201250801251,1.0,4.0,7.0,10.0,12.0,892.0,15.89237668161435,8.46141756221169,1.0,9.0,15.0,23.0,31.0,892.0,1990.7858744394618,7.98737092516841,1977.0,1983.0,1991.0,1998.0,2002.0,847.0,30.918536009445102,8.190072046307161,14.0,22.0,34.0,36.0,53.0,874.0,48.17620137299771,37.48552779142012,6.0,27.0,41.0,49.0,192.0
